,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,9,9578,22827,103.21651499999999,121.221,162.04036500000015,0.1744341494188213,2014-08-05 20:00:00,2015-08-31 23:30:00,391 days 03:30:00
1,9,25408,26695,123.43510499999998,120.996,-21.951944999999853,-0.019760221373003928,2015-11-13 18:00:00,2015-12-22 13:30:00,38 days 19:30:00
2,10,37141,42408,105.02049,111.275,62.545100000000105,0.05955514014455665,2016-10-25 14:30:00,2017-03-29 05:00:00,154 days 14:30:00
3,10,45771,46608,113.53886999999999,110.986,-25.528699999999844,-0.02248454648174658,2017-07-05 06:30:00,2017-07-28 17:00:00,23 days 10:30:00
4,10,48604,52399,112.08161999999999,111.254,-8.276199999999818,-0.007384083135129393,2017-09-26 07:00:00,2018-01-18 02:30:00,113 days 19:30:00
5,10,56143,64140,109.63544999999999,110.626,9.905500000000131,0.0090349426212053,2018-05-08 02:30:00,2018-12-28 07:00:00,234 days 04:30:00
6,10,66737,66779,112.060515,111.415,-6.45514999999989,-0.00576041436182928,2019-03-15 22:30:00,2019-03-18 19:30:00,2 days 21:00:00
7,10,67671,68647,112.42432499999998,109.616,-28.083249999999822,-0.02497969189497007,2019-04-12 10:30:00,2019-05-10 18:30:00,28 days 08:00:00
8,10,74163,78828,109.00229999999998,104.415,-45.872999999999706,-0.04208443308076959,2019-10-18 16:30:00,2020-03-09 00:00:00,142 days 07:30:00
9,10,79545,79881,108.430455,108.805,3.745450000000119,0.0034542417072769283,2020-03-27 22:30:00,2020-04-07 23:30:00,11 days 01:00:00
10,10,90272,100854,105.72901499999999,113.583,78.53985000000009,0.07428410261837781,2021-02-08 21:00:00,2021-12-14 08:00:00,308 days 11:00:00
