,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,9,3662,4239,102.90295499999999,102.085,-7.36159499999998,-0.007948799915415417,2014-02-12 15:30:00,2014-02-28 18:00:00,16 days 02:30:00
1,9,4455,4740,103.51700999999998,101.595,-17.298089999999874,-0.018567093466088203,2014-03-07 07:00:00,2014-03-17 08:30:00,10 days 01:30:00
2,9,5188,5584,103.39439999999999,102.054,-12.063599999999894,-0.01296395162600672,2014-03-28 18:00:00,2014-04-10 02:30:00,12 days 08:30:00
3,9,6008,6410,103.105965,101.968,-10.241684999999947,-0.011036849322927034,2014-04-23 00:30:00,2014-05-05 14:00:00,12 days 13:30:00
4,9,7165,7792,102.265785,102.036,-2.068064999999933,-0.0022469391888987333,2014-05-27 10:00:00,2014-06-13 13:30:00,17 days 03:30:00
5,9,8539,8707,102.66778499999998,101.144,-13.714064999999778,-0.014841900017614873,2014-07-07 04:30:00,2014-07-10 16:30:00,3 days 12:00:00
6,9,9224,9771,102.400455,102.144,-2.308094999999895,-0.002504432231282494,2014-07-25 11:00:00,2014-08-11 20:30:00,17 days 09:30:00
7,9,9953,11731,103.10897999999999,108.181,45.64818000000008,0.04919086581983456,2014-08-15 15:30:00,2014-10-07 16:30:00,53 days 01:00:00
8,9,12367,14049,108.59125499999999,118.309,87.45970500000007,0.08948920426419238,2014-10-24 22:30:00,2014-12-15 00:30:00,51 days 02:00:00
9,8,14360,14799,120.68542499999998,119.585,-8.803399999999897,-0.009118126733199006,2014-12-23 12:00:00,2015-01-08 17:30:00,16 days 05:30:00
10,8,15420,15645,118.01312999999999,117.029,-7.873039999999946,-0.00833915683788744,2015-01-27 16:00:00,2015-02-03 08:30:00,6 days 16:30:00
11,8,15866,16455,119.15782499999999,118.952,-1.6465999999999212,-0.001727330957912221,2015-02-09 23:00:00,2015-02-26 05:30:00,16 days 06:30:00
12,8,16491,17276,120.06433499999999,119.878,-1.4906799999998839,-0.0015519596223140253,2015-02-26 23:30:00,2015-03-23 07:00:00,24 days 07:30:00
13,8,17908,18150,120.82712999999998,119.18,-13.177039999999806,-0.013632120534518788,2015-04-09 12:00:00,2015-04-16 13:00:00,7 days 01:00:00
14,8,18718,19171,120.625125,119.412,-9.704999999999927,-0.010056984396907276,2015-05-04 09:00:00,2015-05-15 19:30:00,11 days 10:30:00
15,8,19295,20109,121.55072999999999,123.427,15.010160000000155,0.01543610638948878,2015-05-20 09:30:00,2015-06-12 08:30:00,22 days 23:00:00
16,8,20576,20688,124.18382999999999,122.376,-14.462639999999851,-0.014557692414543633,2015-06-26 02:00:00,2015-06-30 10:00:00,4 days 08:00:00
17,8,21214,21716,124.05418499999999,123.799,-2.041479999999865,-0.002057044669633523,2015-07-15 09:00:00,2015-07-29 20:00:00,14 days 11:00:00
18,8,21822,22363,124.53156,124.465,-0.5324799999999641,-0.0005344829856784861,2015-08-03 01:00:00,2015-08-18 07:30:00,15 days 06:30:00
19,8,23222,23617,121.34771999999998,120.015,-10.661759999999845,-0.010982653815003518,2015-09-11 05:00:00,2015-09-23 10:30:00,12 days 05:30:00
20,8,24103,24249,120.60301499999998,120.106,-3.9761199999999235,-0.004121082710908941,2015-10-07 13:30:00,2015-10-12 14:30:00,5 days 01:00:00
21,8,24655,25763,121.29445499999999,122.333,8.308360000000107,0.008562180356884497,2015-10-23 01:30:00,2015-11-25 03:30:00,33 days 02:00:00
22,8,26037,26291,124.08332999999998,121.423,-21.282639999999788,-0.021439866257618734,2015-12-02 20:30:00,2015-12-10 03:30:00,7 days 07:00:00
23,8,27770,28187,118.593015,116.868,-13.800119999999993,-0.014545671176333652,2016-01-26 07:00:00,2016-02-05 23:30:00,10 days 16:30:00
24,8,29017,29553,114.52979999999998,111.627,-23.22239999999988,-0.025345368628950538,2016-03-02 06:30:00,2016-03-17 10:30:00,15 days 04:00:00
25,8,29890,30114,114.03131999999998,111.412,-20.954559999999788,-0.02297018047322419,2016-03-28 13:00:00,2016-04-04 05:00:00,6 days 16:00:00
26,8,30793,31074,110.476635,106.414,-32.50108,-0.03677370332649976,2016-04-22 08:30:00,2016-05-02 05:00:00,9 days 20:30:00
27,8,31486,32251,109.27766999999999,106.839,-19.5093599999999,-0.022316270103489466,2016-05-12 19:00:00,2016-06-03 17:30:00,21 days 22:30:00
