,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-987,4800,6318,101.24011399999999,102.302,-1048.0814820000153,-0.010488787082954198,2014-03-18 14:30:00,2014-05-01 15:00:00,44 days 00:30:00
1,965,6318,7280,102.50660400000001,101.658,-818.9028600000084,-0.008278530035001563,2014-05-01 15:00:00,2014-05-29 19:30:00,28 days 04:30:00
2,-967,7280,7896,101.454684,102.146,-668.5025720000004,-0.006814037289791353,2014-05-29 19:30:00,2014-06-17 18:30:00,18 days 23:00:00
3,952,7896,8066,102.350292,101.934,-396.3099839999986,-0.004067325963271307,2014-06-17 18:30:00,2014-06-23 08:00:00,5 days 13:30:00
4,-954,8066,9691,101.730132,102.018,-274.626072000003,-0.0028297220729056605,2014-06-23 08:00:00,2014-08-08 04:30:00,45 days 20:30:00
5,946,9691,16645,102.222036,119.613,16451.851944,0.170129305583387,2014-08-08 04:30:00,2015-03-04 04:30:00,208 days 00:00:00
6,-948,16645,17040,119.373774,121.238,-1767.2862480000022,-0.01561671326567926,2015-03-04 04:30:00,2015-03-16 09:00:00,12 days 04:30:00
7,917,17040,17331,121.480476,119.538,-1781.2504919999992,-0.01599002624915624,2015-03-16 09:00:00,2015-03-24 10:30:00,8 days 01:30:00
8,-919,17331,17824,119.298924,120.312,-931.0168439999983,-0.008491912299225746,2015-03-24 10:30:00,2015-04-07 18:00:00,14 days 07:30:00
9,902,17824,19815,120.552624,124.477,3539.7871520000085,0.03255321924805221,2015-04-07 18:00:00,2015-06-04 05:30:00,57 days 11:30:00
10,-904,19815,20200,124.228046,123.519,640.9775840000007,0.005707616136858551,2015-06-04 05:30:00,2015-06-16 06:00:00,12 days 00:30:00
11,912,20200,22712,123.76603800000001,120.198,-3254.050656000014,-0.02882889407835787,2015-06-16 06:00:00,2015-08-27 14:00:00,72 days 08:00:00
12,-914,22712,25798,119.95760399999999,122.689,-2496.4959440000034,-0.02276967786052153,2015-08-27 14:00:00,2015-11-25 21:00:00,90 days 07:00:00
13,871,25798,27965,122.934378,121.279,-1441.834237999999,-0.013465541754317134,2015-11-25 21:00:00,2016-02-01 08:30:00,67 days 11:30:00
14,-873,27965,36237,121.036442,100.559,17876.806865999995,0.16918410407338313,2016-02-01 08:30:00,2016-09-28 18:30:00,240 days 10:00:00
15,1226,36237,36447,100.76011799999999,102.686,2361.131332000019,0.01911353458319698,2016-09-28 18:30:00,2016-10-05 03:30:00,6 days 09:00:00
16,-1229,36447,37407,102.48062800000001,103.928,-1778.8201879999842,-0.01412337168737876,2016-10-05 03:30:00,2016-11-02 03:30:00,28 days 00:00:00
17,1192,37407,41743,104.135856,114.519,12376.707648000001,0.0997076741751659,2016-11-02 03:30:00,2017-03-09 06:30:00,127 days 03:00:00
18,-1195,41743,45504,114.289962,111.94,2808.2045900000057,0.020561403284043434,2017-03-09 06:30:00,2017-06-27 17:00:00,110 days 10:30:00
19,1242,45504,46638,112.16387999999999,110.506,-2059.0869599999896,-0.014780872416325086,2017-06-27 17:00:00,2017-07-31 08:00:00,33 days 15:00:00
20,-1245,46638,47603,110.284988,109.112,1460.3700600000045,0.010635971597512506,2017-07-31 08:00:00,2017-08-28 10:30:00,28 days 02:30:00
21,1269,47603,48302,109.330224,111.049,2181.126744000007,0.01572095928386652,2017-08-28 10:30:00,2017-09-18 00:00:00,20 days 13:30:00
22,-1272,48302,49653,110.826902,113.678,-3626.5966559999915,-0.025725685267282694,2017-09-18 00:00:00,2017-10-26 03:30:00,38 days 03:30:00
23,1205,49653,52441,113.905356,111.061,-3427.4489799999888,-0.024971222599927567,2017-10-26 03:30:00,2018-01-18 23:30:00,84 days 20:00:00
24,-1208,52441,56499,110.83887800000001,110.669,205.21262400001365,0.0015326571602430894,2018-01-18 23:30:00,2018-05-17 12:30:00,118 days 13:00:00
25,1209,56499,61493,110.890338,113.218,2814.1433580000044,0.02099066557088136,2018-05-17 12:30:00,2018-10-10 13:30:00,146 days 01:00:00
26,-1212,61493,61812,112.991564,112.372,750.9115679999962,0.005483276609924537,2018-10-10 13:30:00,2018-10-19 05:00:00,8 days 15:30:00
27,1222,61812,64062,112.596744,110.51,-2550.0011679999952,-0.018532898251480523,2018-10-19 05:00:00,2018-12-26 16:00:00,68 days 11:00:00
28,-1225,64062,67205,110.28898000000001,110.889,-735.0244999999834,-0.0054404347560379485,2018-12-26 16:00:00,2019-03-29 16:30:00,93 days 00:30:00
29,1209,67205,69154,111.110778,109.477,-1975.2376019999908,-0.014704046082730127,2019-03-29 16:30:00,2019-05-27 08:00:00,58 days 15:30:00
30,-1212,69154,74593,109.25804600000001,108.149,1344.1637520000077,0.010150703226012303,2019-05-27 08:00:00,2019-10-31 14:30:00,157 days 06:30:00
31,1234,74593,79052,108.365298,106.807,-1922.939731999992,-0.014380046276437963,2019-10-31 14:30:00,2020-03-13 16:00:00,134 days 01:30:00
32,-1237,79052,79586,106.593386,107.912,-1631.1255180000135,-0.012370504864157361,2020-03-13 16:00:00,2020-03-30 20:00:00,17 days 04:00:00
33,1204,79586,79709,108.127824,107.216,-1097.836096000012,-0.008432834087181984,2020-03-30 20:00:00,2020-04-02 09:30:00,2 days 13:30:00
34,-1206,79709,81729,107.00156799999999,107.435,-522.7189920000126,-0.004050706995247122,2020-04-02 09:30:00,2020-06-01 11:30:00,60 days 02:00:00
35,1194,81729,82247,107.64987,107.542,-128.79678000000652,-0.0010020448700960305,2020-06-01 11:30:00,2020-06-16 06:30:00,14 days 19:00:00
36,-1197,82247,83545,107.326916,107.133,232.11745200000183,0.0018067788326275869,2020-06-16 06:30:00,2020-07-23 07:30:00,37 days 01:00:00
37,1199,83545,84204,107.34726599999999,106.507,-1007.4789339999827,-0.00782754914317041,2020-07-23 07:30:00,2020-08-12 01:00:00,19 days 17:30:00
38,-1201,84204,86898,106.293986,104.406,2267.4711859999975,0.017761926813055995,2020-08-12 01:00:00,2020-10-29 03:00:00,78 days 02:00:00
39,1242,86898,87024,104.614812,104.798,227.51949600000154,0.001751071349246347,2020-10-29 03:00:00,2020-11-02 19:00:00,4 days 16:00:00
40,-1244,87024,90808,104.588404,105.238,-808.0974240000031,-0.0062109753582242355,2020-11-02 19:00:00,2021-02-24 01:00:00,113 days 06:00:00
41,1227,90808,94884,105.448476,110.617,6341.7789480000065,0.04901468656597752,2021-02-24 01:00:00,2021-06-22 23:00:00,118 days 22:00:00
42,-1229,94884,95465,110.39576600000001,109.771,767.83741400001,0.005659329362323606,2021-06-22 23:00:00,2021-07-09 01:30:00,16 days 02:30:00
43,1241,95465,97767,109.990542,109.679,-386.6236220000036,-0.002832443538645424,2021-07-09 01:30:00,2021-09-15 00:30:00,67 days 23:00:00
44,-1243,97767,98664,109.459642,113.093,-4516.263994000002,-0.03319358563222785,2021-09-15 00:30:00,2021-10-11 17:00:00,26 days 16:30:00
45,1161,98664,100854,113.319186,113.583,306.2880539999959,0.0023280611987452904,2021-10-11 17:00:00,2021-12-14 08:00:00,63 days 15:00:00
