,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,10,86,150,97.95031499999999,97.573,-3.7731499999999585,-0.003852106039679337,2013-10-25 19:00:00,2013-10-29 04:00:00,3 days 09:00:00
1,10,171,261,98.44778999999998,98.206,-2.417899999999804,-0.002456022628847032,2013-10-29 14:30:00,2013-10-31 11:30:00,1 days 21:00:00
2,10,291,297,98.76436499999998,97.976,-7.883649999999847,-0.007982281868566532,2013-11-01 02:30:00,2013-11-01 05:30:00,0 days 03:00:00
3,9,318,357,99.25279499999999,98.663,-5.308154999999957,-0.005942351547883362,2013-11-01 16:00:00,2013-11-04 13:00:00,2 days 21:00:00
4,9,421,491,99.07993499999999,98.632,-4.031414999999882,-0.004520945638488594,2013-11-05 21:00:00,2013-11-07 08:00:00,1 days 11:00:00
5,9,503,517,99.250785,97.891,-12.238064999999892,-0.01370049617239788,2013-11-07 14:00:00,2013-11-07 21:00:00,0 days 07:00:00
6,9,553,598,99.06083999999998,99.192,1.1804400000000754,0.0013240348052774298,2013-11-08 15:00:00,2013-11-11 14:30:00,2 days 23:30:00
7,9,599,667,99.73821,99.568,-1.5318899999999758,-0.0017065676233811722,2013-11-11 15:00:00,2013-11-13 01:00:00,1 days 10:00:00
8,9,728,810,100.13417999999999,100.245,0.9973800000001631,0.0011067150098000855,2013-11-14 07:30:00,2013-11-18 01:30:00,3 days 18:00:00
9,9,811,818,100.77235499999999,100.203,-5.124194999999887,-0.005649912617403774,2013-11-18 02:00:00,2013-11-18 05:30:00,0 days 03:30:00
10,9,889,922,100.69697999999998,100.066,-5.678819999999817,-0.006266126352547863,2013-11-19 17:00:00,2013-11-20 09:30:00,0 days 16:30:00
11,9,950,1029,100.50904499999999,101.091,5.23759500000007,0.0057900759080937725,2013-11-20 23:30:00,2013-11-22 15:00:00,1 days 15:30:00
12,9,1036,1091,101.78439,101.657,-1.146510000000049,-0.0012515671607404855,2013-11-22 18:30:00,2013-11-25 23:00:00,3 days 04:30:00
13,9,1157,1265,102.032625,102.303,2.4333750000000123,0.002649887719736732,2013-11-27 08:00:00,2013-11-29 14:00:00,2 days 06:00:00
14,9,1277,1360,102.97933499999999,102.588,-3.522014999999982,-0.0038001313564512973,2013-11-29 20:00:00,2013-12-03 14:30:00,3 days 18:30:00
15,9,1396,1418,103.22656499999998,101.945,-11.534084999999877,-0.01241506970613604,2013-12-04 08:30:00,2013-12-04 19:30:00,0 days 11:00:00
16,9,1493,1594,102.64366499999998,103.084,3.963015000000169,0.004289938399997917,2013-12-06 09:00:00,2013-12-10 12:30:00,4 days 03:30:00
17,9,1676,1746,103.07983499999999,103.038,-0.37651499999992666,-0.0004058504750225067,2013-12-12 05:30:00,2013-12-13 16:30:00,1 days 11:00:00
18,9,1798,1828,103.52705999999999,102.929,-5.382539999999906,-0.005776847135425145,2013-12-16 19:30:00,2013-12-17 10:30:00,0 days 15:00:00
19,9,1871,1990,103.47781499999998,104.042,5.077665000000209,0.005452231475896685,2013-12-18 08:00:00,2013-12-20 19:30:00,2 days 11:30:00
20,9,2043,2196,104.62250999999999,105.036,3.721410000000091,0.003952208755075848,2013-12-23 23:00:00,2013-12-30 17:00:00,6 days 18:00:00
21,9,2246,2285,105.77022,104.959,-7.3009799999999245,-0.007669644631541739,2013-12-31 18:00:00,2014-01-02 17:30:00,1 days 23:30:00
22,8,2341,2363,105.31796999999999,104.629,-5.511759999999867,-0.0065418085821440375,2014-01-03 21:30:00,2014-01-06 09:30:00,2 days 12:00:00
23,8,2378,2383,105.04862999999999,104.041,-8.061039999999934,-0.009592033708578529,2014-01-06 17:00:00,2014-01-06 19:30:00,0 days 02:30:00
24,8,2413,2481,104.82451499999999,104.866,0.33188000000006923,0.0003957566605483631,2014-01-07 10:30:00,2014-01-08 20:30:00,1 days 10:00:00
25,8,2504,2529,105.42952499999998,104.754,-5.4041999999998325,-0.006407360746432111,2014-01-09 08:00:00,2014-01-09 20:30:00,0 days 12:30:00
26,8,2551,2570,105.48479999999998,104.145,-10.71839999999986,-0.012701356024754085,2014-01-10 07:30:00,2014-01-10 17:00:00,0 days 09:30:00
27,8,2645,2758,103.83860999999999,104.313,3.795120000000111,0.004568531878460291,2014-01-14 07:30:00,2014-01-16 16:00:00,2 days 08:30:00
28,8,2797,2817,104.95616999999999,104.276,-5.441359999999918,-0.006480514675792692,2014-01-17 11:30:00,2014-01-17 21:30:00,0 days 10:00:00
29,8,2864,2908,104.72200499999998,104.206,-4.128039999999828,-0.004927378920982051,2014-01-20 22:00:00,2014-01-21 20:00:00,0 days 22:00:00
30,8,2939,2987,104.888835,104.338,-4.406680000000051,-0.005251607571006067,2014-01-22 11:30:00,2014-01-23 11:30:00,1 days 00:00:00
31,8,3077,3109,102.97531499999998,102.606,-2.9545199999998886,-0.0035864420516702467,2014-01-27 09:30:00,2014-01-28 01:30:00,0 days 16:00:00
32,8,3113,3183,103.08485999999999,102.542,-4.342879999999923,-0.005266146745506517,2014-01-28 03:30:00,2014-01-29 14:30:00,1 days 11:00:00
33,8,3221,3268,102.816525,102.506,-2.484199999999987,-0.003020185714310064,2014-01-30 09:30:00,2014-01-31 09:00:00,0 days 23:30:00
34,8,3317,3320,102.65974499999999,101.767,-7.141959999999926,-0.008696154466387829,2014-02-03 10:00:00,2014-02-03 11:30:00,0 days 01:30:00
35,8,3370,3411,101.81654999999999,101.235,-4.652399999999943,-0.005711743326600516,2014-02-04 12:30:00,2014-02-05 09:00:00,0 days 20:30:00
36,8,3441,3559,102.00247499999999,102.151,1.1882000000000517,0.0014560921193333964,2014-02-06 00:00:00,2014-02-10 12:00:00,4 days 12:00:00
37,8,3594,3653,102.65673,102.437,-1.7578399999999874,-0.0021404344362030425,2014-02-11 05:30:00,2014-02-12 11:00:00,1 days 05:30:00
38,8,3679,3690,103.04867999999999,102.155,-7.149439999999913,-0.00867240609001485,2014-02-13 00:00:00,2014-02-13 05:30:00,0 days 05:30:00
39,8,3727,3742,102.76928999999998,101.717,-8.41831999999988,-0.010239342900977388,2014-02-14 00:00:00,2014-02-14 07:30:00,0 days 07:30:00
40,8,3801,3868,102.44165999999998,102.383,-0.46927999999991243,-0.0005726186006747014,2014-02-17 14:00:00,2014-02-18 23:30:00,1 days 09:30:00
41,8,3914,3931,102.82154999999999,101.942,-7.036399999999958,-0.008554140644641106,2014-02-19 22:30:00,2014-02-20 07:00:00,0 days 08:30:00
42,8,3955,4022,102.872805,102.221,-5.214439999999968,-0.006336028263251858,2014-02-20 19:00:00,2014-02-24 05:30:00,3 days 10:30:00
43,8,4049,4080,103.043655,102.395,-5.189240000000041,-0.006294953337980913,2014-02-24 19:00:00,2014-02-25 10:30:00,0 days 15:30:00
44,8,4122,4169,102.81351,102.34,-3.7880799999999226,-0.004605523145742141,2014-02-26 07:30:00,2014-02-27 07:00:00,0 days 23:30:00
45,8,4241,4255,102.57733499999998,101.392,-9.482679999999846,-0.011555525399446043,2014-02-28 19:00:00,2014-03-03 03:00:00,2 days 08:00:00
46,8,4293,4461,101.90097,102.873,7.77624000000003,0.009538967097172835,2014-03-03 22:00:00,2014-03-07 10:00:00,3 days 12:00:00
47,8,4473,4502,103.96925999999999,103.109,-6.8820799999999736,-0.008274176424839408,2014-03-07 16:00:00,2014-03-10 07:30:00,2 days 15:30:00
48,8,4518,4570,103.71800999999999,103.049,-5.352079999999887,-0.006450278018253375,2014-03-10 15:30:00,2014-03-11 17:30:00,1 days 02:00:00
49,8,4644,4649,103.27480499999999,102.595,-5.4384399999999005,-0.006582486406050192,2014-03-13 06:30:00,2014-03-13 09:00:00,0 days 02:30:00
50,8,4740,4792,102.10297499999999,101.38,-5.783799999999928,-0.007080841669892535,2014-03-17 08:30:00,2014-03-18 10:30:00,1 days 02:00:00
51,8,4838,4924,102.08086499999999,102.348,2.1370800000000827,0.0026168959285368665,2014-03-19 09:30:00,2014-03-21 04:30:00,1 days 19:00:00
52,7,4967,4998,103.02757499999998,102.149,-6.150024999999886,-0.00852757138076854,2014-03-24 03:30:00,2014-03-24 19:00:00,0 days 15:30:00
53,7,5032,5059,102.76024499999998,102.36,-2.801714999999888,-0.003894940110350853,2014-03-25 12:00:00,2014-03-26 01:30:00,0 days 13:30:00
54,7,5060,5096,102.85772999999999,102.051,-5.647109999999913,-0.007843163561941258,2014-03-26 02:00:00,2014-03-26 20:00:00,0 days 18:00:00
55,7,5130,5156,102.84968999999998,102.078,-5.401829999999848,-0.007503085327724146,2014-03-27 13:00:00,2014-03-28 02:00:00,0 days 13:00:00
56,7,5176,5330,102.88486499999999,103.803,6.426945000000046,0.008923907321062297,2014-03-28 12:00:00,2014-04-02 18:30:00,5 days 06:30:00
57,7,5342,5390,104.37929999999999,103.91,-3.285099999999929,-0.0044961021965082,2014-04-03 00:30:00,2014-04-04 00:30:00,1 days 00:00:00
58,7,5553,5573,102.58135499999999,101.761,-5.742484999999945,-0.00799711604511355,2014-04-09 11:00:00,2014-04-09 21:00:00,0 days 10:00:00
59,7,5645,5666,102.28487999999999,101.529,-5.291159999999934,-0.007389948543714331,2014-04-11 09:00:00,2014-04-11 19:30:00,0 days 10:30:00
60,7,5694,5754,102.13814999999998,101.667,-3.2980499999998614,-0.004612869921767571,2014-04-14 10:30:00,2014-04-15 16:30:00,1 days 06:00:00
61,7,5776,5822,102.553215,102.09,-3.2425049999999374,-0.00451682572798906,2014-04-16 03:30:00,2014-04-17 02:30:00,0 days 23:00:00
62,7,5854,5894,102.84767999999998,102.38,-3.2737599999999105,-0.00454730724115493,2014-04-17 18:30:00,2014-04-18 14:30:00,0 days 20:00:00
63,7,5915,5982,103.08184499999999,102.525,-3.8979149999998697,-0.005401969667888529,2014-04-21 02:00:00,2014-04-22 11:30:00,1 days 09:30:00
64,7,6004,6026,103.09792499999999,102.512,-4.1014749999999225,-0.0056831890651531936,2014-04-22 22:30:00,2014-04-23 09:30:00,0 days 11:00:00
65,7,6062,6079,102.99239999999999,102.34,-4.566799999999901,-0.006334447978685653,2014-04-24 03:30:00,2014-04-24 12:00:00,0 days 08:30:00
66,7,6125,6129,102.74114999999999,102.074,-4.6700499999999465,-0.00649350333337706,2014-04-25 11:00:00,2014-04-25 13:00:00,0 days 02:00:00
67,7,6164,6249,102.70597499999998,102.568,-0.9658249999998816,-0.0013433979863389789,2014-04-28 07:30:00,2014-04-30 02:00:00,1 days 18:30:00
68,7,6316,6382,102.79943999999999,102.254,-3.8180799999998953,-0.005305865479422689,2014-05-01 14:00:00,2014-05-05 00:00:00,3 days 10:00:00
69,7,6425,6451,102.62858999999999,102.024,-4.232129999999913,-0.005891048488535056,2014-05-05 21:30:00,2014-05-06 10:30:00,0 days 13:00:00
70,7,6514,6555,102.23262,101.756,-3.3363399999999785,-0.004662112738575974,2014-05-07 18:00:00,2014-05-08 14:30:00,0 days 20:30:00
